day,desktop,mobile,all
03/25/18,51.668404588112615,48.331595411887385,1918
04/01/18,53.39038841342989,46.60961158657011,1519
04/08/18,56.30252100840336,43.69747899159664,1428
04/15/18,62.07171314741036,37.92828685258964,1255
04/22/18,54.4468546637744,45.5531453362256,1383
04/29/18,62.63812154696132,37.36187845303867,1448
05/06/18,51.75332527206772,48.24667472793229,1654
05/13/18,52.47386759581881,47.52613240418119,1435
05/20/18,48.818897637795274,51.181102362204726,1397
05/27/18,38.817794028031685,61.18220597196831,1641
06/03/18,44.645550527903474,55.35444947209653,1326
06/10/18,48.24830977258758,51.75169022741242,1627
06/17/18,43.2449105490438,56.7550894509562,1621
06/24/18,42.417582417582416,57.58241758241758,1820
07/01/18,40.064970221981596,59.93502977801841,1847
07/08/18,37.492163009404386,62.507836990595614,1595
07/15/18,41.7096959265634,58.2903040734366,1743
07/22/18,42.841287458379576,57.158712541620424,1802
07/29/18,48.39601769911505,51.60398230088495,1808
08/05/18,48.595041322314046,51.404958677685954,1815
