day,desktop,mobile,all
12/24/17,64.66127401415571,35.33872598584429,1978
12/31/17,63.883847549909255,36.116152450090745,1653
01/07/18,65.85185185185185,34.14814814814815,2700
01/14/18,68.86967263743051,31.13032736256949,3238
01/21/18,66.57458563535911,33.42541436464088,2534
01/28/18,69.26889714993804,30.73110285006196,2421
02/04/18,64.92565764391918,35.07434235608082,2623
02/11/18,65.99921476246564,34.00078523753435,2547
02/18/18,70.30075187969925,29.69924812030075,2394
02/25/18,72.37721021611002,27.622789783889978,2545
03/04/18,66.90485144791275,33.09514855208725,2659
03/11/18,70.70552147239265,29.29447852760736,2608
03/18/18,70.76983196561156,29.23016803438843,2559
03/25/18,71.76022176022177,28.23977823977824,2886
04/01/18,71.14893617021276,28.851063829787233,2350
04/08/18,71.46577380952381,28.534226190476193,2688
04/15/18,70.25032092426187,29.74967907573813,3116
04/22/18,70.81673306772909,29.183266932270918,3012
04/29/18,68.30200700860146,31.697992991398532,3139
05/06/18,66.57816130102887,33.42183869897112,3013
