day,desktop,mobile,all
08/20/17,50.755395683453244,49.24460431654676,2780
08/27/17,50.83964438590714,49.16035561409286,3037
09/03/17,45.734024179620036,54.265975820379964,2895
09/10/17,50.84901330885727,49.15098669114273,2179
09/17/17,52.485688460379635,47.514311539620365,3319
09/24/17,56.35696821515892,43.64303178484107,2454
10/01/17,50.48622366288493,49.513776337115075,2468
10/08/17,51.04581673306773,48.95418326693227,2008
10/15/17,51.22789783889981,48.77210216110019,2036
10/22/17,56.23809523809524,43.761904761904766,2100
10/29/17,60.19945602901179,39.80054397098821,2206
11/05/17,50.24426907177752,49.75573092822248,2661
11/12/17,55.79310344827586,44.20689655172414,2900
11/19/17,49.68914395026303,50.31085604973696,2091
11/26/17,51.75013462574044,48.24986537425956,1857
12/03/17,59.84360625574977,40.15639374425023,2174
12/10/17,56.93756194251735,43.06243805748265,2018
12/17/17,57.05973622963537,42.94026377036462,2578
12/24/17,54.60954446854663,45.39045553145336,1844
12/31/17,52.976190476190474,47.023809523809526,1848
