day,desktop,mobile,all
08/06/17,70.69038870624638,29.309611293753623,25855
08/13/17,70.37841315800057,29.621586841999438,24867
08/20/17,69.1538751097913,30.84612489020871,23909
08/27/17,69.84047856430708,30.15952143569292,24072
09/03/17,68.57987106017191,31.42012893982808,22336
09/10/17,67.38107416879795,32.61892583120204,19550
09/17/17,68.58002590081512,31.419974099184888,26254
09/24/17,69.32446104755235,30.675538952447663,25698
10/01/17,71.81833880158868,28.18166119841133,23164
10/08/17,73.07673376974947,26.92326623025053,20317
10/15/17,69.45920444952078,30.540795550479217,20137
10/22/17,73.17139245078562,26.82860754921438,22148
10/29/17,71.30208571037379,28.697914289626215,21911
11/05/17,72.79007614341182,27.20992385658817,19831
11/12/17,71.66666666666667,28.333333333333332,20820
11/19/17,74.66537811065474,25.334621889345254,20695
11/26/17,71.0806697108067,28.9193302891933,13140
12/03/17,73.65861230403064,26.34138769596937,19327
12/10/17,70.79548437910212,29.204515620897876,19045
12/17/17,69.37552981068097,30.624470189319013,17695
